country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cambodia,Asia,1957,41.366,5322536,434.0383364
Cambodia,Asia,1962,43.415,6083619,496.9136476
Cambodia,Asia,1967,45.415,6960067,523.4323142
Cambodia,Asia,1972,40.317,7450606,421.6240257
Cambodia,Asia,1977,31.22,6978607,524.9721832
Cambodia,Asia,1982,50.957,7272485,624.4754784
Cambodia,Asia,1987,53.914,8371791,683.8955732
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cambodia,Asia,1997,56.534,11782962,734.28517
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
India,Asia,1962,43.605,454000000,658.3471509
India,Asia,1967,47.193,506000000,700.7706107
India,Asia,1972,50.651,567000000,724.032527
India,Asia,1977,54.208,634000000,813.337323
India,Asia,1982,56.596,708000000,855.7235377
India,Asia,1987,58.553,788000000,976.5126756
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Mexico,Americas,1952,50.789,30144317,3478.125529
Mexico,Americas,1957,55.19,35015548,4131.546641
Mexico,Americas,1962,58.299,41121485,4581.609385
Mexico,Americas,1967,60.11,47995559,5754.733883
Mexico,Americas,1972,62.361,55984294,6809.40669
Mexico,Americas,1977,65.032,63759976,7674.929108
Mexico,Americas,1982,67.405,71640904,9611.147541
Mexico,Americas,1987,69.498,80122492,8688.156003
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
